Starting price: $10.00
On day 1, price is: $10.91
On day 2, price is: $10.87
On day 3, price is: $10.72
On day 4, price is: $10.95
On day 5, price is: $11.19
On day 6, price is: $11.06
On day 7, price is: $12.13
On day 8, price is: $12.33
On day 9, price is: $11.86
On day 10, price is: $11.99
On day 11, price is: $12.62
On day 12, price is: $13.43
On day 13, price is: $13.36
On day 14, price is: $13.89
On day 15, price is: $14.54
On day 16, price is: $14.16
On day 17, price is: $13.88
On day 18, price is: $15.11
On day 19, price is: $15.03
On day 20, price is: $14.44
On day 21, price is: $15.59
On day 22, price is: $15.17
On day 23, price is: $14.83
On day 24, price is: $14.60
On day 25, price is: $14.54
On day 26, price is: $14.99
On day 27, price is: $15.39
On day 28, price is: $15.36
On day 29, price is: $14.76
On day 30, price is: $14.75
On day 31, price is: $14.34
On day 32, price is: $14.85
On day 33, price is: $16.13
On day 34, price is: $16.00
On day 35, price is: $15.64
On day 36, price is: $14.86
On day 37, price is: $14.70
On day 38, price is: $14.95
On day 39, price is: $14.29
On day 40, price is: $14.58
On day 41, price is: $14.09
On day 42, price is: $14.04
On day 43, price is: $13.45
On day 44, price is: $14.23
On day 45, price is: $14.04
On day 46, price is: $14.40
On day 47, price is: $15.43
On day 48, price is: $16.05
On day 49, price is: $16.78
On day 50, price is: $18.25
On day 51, price is: $17.75
On day 52, price is: $18.94
On day 53, price is: $18.01
On day 54, price is: $19.50
On day 55, price is: $19.10
On day 56, price is: $18.98
On day 57, price is: $19.23
On day 58, price is: $19.62
On day 59, price is: $19.18
On day 60, price is: $19.54
On day 61, price is: $19.22
On day 62, price is: $19.88
On day 63, price is: $21.18
On day 64, price is: $20.97
On day 65, price is: $21.87
On day 66, price is: $21.15
On day 67, price is: $22.49
On day 68, price is: $23.40
On day 69, price is: $22.93
On day 70, price is: $22.52
On day 71, price is: $21.68
On day 72, price is: $20.83
On day 73, price is: $20.23
On day 74, price is: $20.14
On day 75, price is: $19.72
On day 76, price is: $19.00
On day 77, price is: $18.14
On day 78, price is: $17.73
On day 79, price is: $17.60
On day 80, price is: $17.47
On day 81, price is: $17.36
On day 82, price is: $17.07
On day 83, price is: $17.00
On day 84, price is: $18.08
On day 85, price is: $17.35
On day 86, price is: $18.49
On day 87, price is: $17.98
On day 88, price is: $17.37
On day 89, price is: $16.61
On day 90, price is: $16.17
On day 91, price is: $15.89
On day 92, price is: $15.25
On day 93, price is: $15.41
On day 94, price is: $14.73
On day 95, price is: $14.26
On day 96, price is: $14.66
On day 97, price is: $14.72
On day 98, price is: $15.05
On day 99, price is: $16.45
On day 100, price is: $16.37
On day 101, price is: $16.94
On day 102, price is: $16.10
On day 103, price is: $17.41
On day 104, price is: $17.46
On day 105, price is: $17.74
On day 106, price is: $18.36
On day 107, price is: $18.68
On day 108, price is: $19.50
On day 109, price is: $21.19
On day 110, price is: $21.43
On day 111, price is: $22.33
On day 112, price is: $21.52
On day 113, price is: $22.50
On day 114, price is: $22.48
On day 115, price is: $24.05
On day 116, price is: $23.72
On day 117, price is: $24.50
On day 118, price is: $24.23
On day 119, price is: $23.68
On day 120, price is: $24.39
On day 121, price is: $25.86
On day 122, price is: $27.31
On day 123, price is: $26.94
On day 124, price is: $29.08
On day 125, price is: $31.35
On day 126, price is: $33.55
On day 127, price is: $35.00
On day 128, price is: $34.44
On day 129, price is: $35.48
On day 130, price is: $37.13
On day 131, price is: $38.88
On day 132, price is: $39.89
On day 133, price is: $43.76
On day 134, price is: $42.42
On day 135, price is: $42.11
On day 136, price is: $43.40
On day 137, price is: $41.26
On day 138, price is: $39.26
On day 139, price is: $43.07
On day 140, price is: $46.59
On day 141, price is: $45.77
On day 142, price is: $43.77
On day 143, price is: $43.30
On day 144, price is: $41.79
On day 145, price is: $41.22
On day 146, price is: $42.61
On day 147, price is: $44.90
On day 148, price is: $43.40
On day 149, price is: $42.15
On day 150, price is: $41.16
On day 151, price is: $39.59
On day 152, price is: $38.14
On day 153, price is: $39.97
On day 154, price is: $40.15
On day 155, price is: $38.88
On day 156, price is: $37.45
On day 157, price is: $39.07
On day 158, price is: $39.04
On day 159, price is: $41.53
On day 160, price is: $45.13
On day 161, price is: $43.94
On day 162, price is: $43.53
On day 163, price is: $42.42
On day 164, price is: $42.34
On day 165, price is: $40.94
On day 166, price is: $43.10
On day 167, price is: $42.16
On day 168, price is: $46.19
On day 169, price is: $50.17
On day 170, price is: $55.00
On day 171, price is: $57.45
On day 172, price is: $59.70
On day 173, price is: $62.72
On day 174, price is: $68.44
On day 175, price is: $75.24
On day 176, price is: $74.66
On day 177, price is: $77.21
On day 178, price is: $83.85
On day 179, price is: $82.03
On day 180, price is: $83.69
On day 181, price is: $79.64
On day 182, price is: $83.28
On day 183, price is: $84.97
On day 184, price is: $81.28
On day 185, price is: $82.02
On day 186, price is: $79.04
On day 187, price is: $82.78
On day 188, price is: $82.29
On day 189, price is: $80.31
On day 190, price is: $87.41
On day 191, price is: $92.82
On day 192, price is: $91.18
On day 193, price is: $100.05
On day 194, price is: $103.01
On day 195, price is: $101.56
On day 196, price is: $99.65
On day 197, price is: $102.07
On day 198, price is: $98.43
On day 199, price is: $95.64
On day 200, price is: $92.74
On day 201, price is: $93.83
On day 202, price is: $98.57
On day 203, price is: $106.29
On day 204, price is: $103.27
On day 205, price is: $107.42
On day 206, price is: $104.28
On day 207, price is: $102.88
On day 208, price is: $99.10
On day 209, price is: $105.12
On day 210, price is: $103.18
On day 211, price is: $112.89
On day 212, price is: $107.40
On day 213, price is: $105.81
On day 214, price is: $103.55
On day 215, price is: $99.42
On day 216, price is: $97.39
On day 217, price is: $94.75
On day 218, price is: $91.51
On day 219, price is: $89.84
On day 220, price is: $91.59
On day 221, price is: $87.93
On day 222, price is: $92.39
On day 223, price is: $90.96
On day 224, price is: $98.42
On day 225, price is: $93.81
On day 226, price is: $89.54
On day 227, price is: $86.57
On day 228, price is: $92.21
On day 229, price is: $93.85
On day 230, price is: $90.30
On day 231, price is: $88.90
On day 232, price is: $95.17
On day 233, price is: $104.64
On day 234, price is: $107.83
On day 235, price is: $107.72
On day 236, price is: $113.23
On day 237, price is: $109.31
On day 238, price is: $107.36
On day 239, price is: $115.72
On day 240, price is: $126.75
On day 241, price is: $123.05
On day 242, price is: $128.14
On day 243, price is: $129.66
On day 244, price is: $126.05
On day 245, price is: $130.02
On day 246, price is: $126.34
On day 247, price is: $129.25
On day 248, price is: $126.14
On day 249, price is: $134.11
On day 250, price is: $146.37
On day 251, price is: $152.66
On day 252, price is: $149.28
On day 253, price is: $148.66
On day 254, price is: $157.81
On day 255, price is: $157.15
On day 256, price is: $171.27
On day 257, price is: $183.04
On day 258, price is: $180.25
On day 259, price is: $171.97
On day 260, price is: $176.46
On day 261, price is: $186.08
On day 262, price is: $181.51
On day 263, price is: $195.26
On day 264, price is: $213.71
On day 265, price is: $210.84
On day 266, price is: $226.26
On day 267, price is: $230.38
On day 268, price is: $224.13
On day 269, price is: $225.40
On day 270, price is: $243.71
On day 271, price is: $268.04
On day 272, price is: $266.22
On day 273, price is: $281.09
On day 274, price is: $300.72
On day 275, price is: $312.34
On day 276, price is: $318.37
On day 277, price is: $317.20
On day 278, price is: $337.32
On day 279, price is: $328.02
On day 280, price is: $318.85
On day 281, price is: $309.58
On day 282, price is: $310.46
On day 283, price is: $326.58
On day 284, price is: $325.73
On day 285, price is: $309.85
On day 286, price is: $314.98
On day 287, price is: $343.74
On day 288, price is: $342.81
On day 289, price is: $352.20
On day 290, price is: $340.58
On day 291, price is: $370.33
On day 292, price is: $361.27
On day 293, price is: $363.02
On day 294, price is: $372.34
On day 295, price is: $355.33
On day 296, price is: $356.76
On day 297, price is: $355.86
On day 298, price is: $366.16
On day 299, price is: $357.35
On day 300, price is: $353.34
On day 301, price is: $339.26
On day 302, price is: $333.89
On day 303, price is: $319.10
On day 304, price is: $344.00
On day 305, price is: $342.63
On day 306, price is: $331.46
On day 307, price is: $326.00
On day 308, price is: $337.69
On day 309, price is: $332.25
On day 310, price is: $343.70
On day 311, price is: $370.65
On day 312, price is: $359.12
On day 313, price is: $351.51
On day 314, price is: $342.85
On day 315, price is: $376.09
On day 316, price is: $406.79
On day 317, price is: $407.98
On day 318, price is: $393.58
On day 319, price is: $420.41
On day 320, price is: $411.27
On day 321, price is: $432.89
